sku,asin,product_description,price
LG PC PN DE 5 14P GH VS1VS2 16 G 7Ct,B0H2JB6SWW,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 7 Carat",4125.82
LG PC PN DE 5 14K GH VS1VS2 16 G 7Ct,B0H2J7SLVC,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 7 Carat",4125.82
LG PC PN DE 5 14D GH VS1VS2 16 G 7Ct,B0H2J9DHWS,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 7 Carat",4125.82
LG PC PN DE 5 PLT GH VS1VS2 16 G 7Ct,B0H2J6YGDJ,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 7 Carat",4635.82
LG PC PN DE 5 14P GH VS1VS2 16 G 8Ct,B0H2J8318Q,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 8 Carat",4776.86
LG PC PN DE 5 14K GH VS1VS2 16 G 8Ct,B0H2J578JY,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 8 Carat",4776.86
LG PC PN DE 5 14D GH VS1VS2 16 G 8Ct,B0H2HY1SXX,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 8 Carat",4776.86
LG PC PN DE 5 PLT GH VS1VS2 16 G 8Ct,B0H2J3X75Y,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 8 Carat",5286.86
LG PC PN DE 5 14P GH VS1VS2 16 G 9Ct,B0H2HVLJZD,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 9 Carat",5557.9
LG PC PN DE 5 14K GH VS1VS2 16 G 9Ct,B0H2J6BFZ3,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 9 Carat",5557.9
LG PC PN DE 5 14D GH VS1VS2 16 G 9Ct,B0H2JBZDSK,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 9 Carat",5557.9
LG PC PN DE 5 PLT GH VS1VS2 16 G 9Ct,B0H2J9JSHF,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 9 Carat",6067.9
LG PC PN DE 5 14P GH VS1VS2 16 G 10Ct,B0H2J6BFZ9,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 10 Carat",6660.6
LG PC PN DE 5 14K GH VS1VS2 16 G 10Ct,B0H2JFHRH4,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 10 Carat",6660.6
LG PC PN DE 5 14D GH VS1VS2 16 G 10Ct,B0H2J76NQ9,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 10 Carat",6660.6
LG PC PN DE 5 PLT GH VS1VS2 16 G 10Ct,B0H2J7JX23,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 10 Carat",7170.6
LG PC PN DE 0.5 14P GH VS1VS2 16 S,B0H2J415BF,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 0.5 Carat",452.53
LG PC PN 0.5 14K GH VS1VS2 16 S,B0CJJY3QP1,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 0.5 Carat",429.62
LG PC PN 0.5 14D GH VS1VS2 16 S,B0CJJYC4GC,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 0.5 Carat",429.62
LG PC PN DE 0.5 PLT GH VS1VS2 16 S,B0H2JHYBBM,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 0.5 Carat",773.32
LG PC PN DE 0.75 14P GH VS1VS2 16 S,B0H2J6GT68,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 0.75 Carat",640.32
LG PC PN DE 0.75 14K GH VS1VS2 16 S,B0H2J2HL15,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 0.75 Carat",617.41
LG PC PN DE 0.75 14D GH VS1VS2 16 S,B0H2JF5VTF,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 0.75 Carat",617.41
LG PC PN DE 0.75 PLT GH VS1VS2 16 S,B0H2J84YQ2,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 0.75 Carat",961.11
LG PC PN DE 1 14P GH VS1VS2 16 S,B0H2J4BF76,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 1 Carat",628.97
LG PC PN 1 14K GH VS1VS2 16 S,B0CJJZJ46S,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 1 Carat",628.97
LG PC PN 1 14D GH VS1VS2 16 S,B0CJJZS3KC,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Silver Chain 1 Carat",628.97
LG PC PN DE 1 PLT GH VS1VS2 16 S,B0H2J7SLV7,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Silver Chain 1 Carat",972.67
LG PC PN 1 SS GH VS1VS2 16 S,B0FMHB8JZL,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Sterling Silver 16"" Silver Chain 1 Carat",269.0
LG PC PN DE 1.5 14P GH VS1VS2 16 S,B0H2J4BF75,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Silver Chain 1.5 Carat",800.82
LG PC PN 1.5 14K GH VS1VS2 16 S,B0CJJV52RN,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Silver Chain 1.5 Carat",800.82
